Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
,,,,,,,
,,,,,,,
150,2178.94,0.913,0,3d10(1S)4s,2S,1月2日,2
150,2178.94,0.913,45879.311,3d9(2D)4s4p(3P～),2P～,3月2日,4
150,2181.72,0.994,0,3d10(1S)4s,2S,1月2日,2
150,2181.72,0.994,45821,3d9(2D)4s4p(3P～),2P～,1月2日,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
100,2441.64,0.0201,0,3d10(1S)4s,2S,1月2日,2
100,2441.64,0.0201,40943.73,3d9(2D)4s4p(3P～),4P～,1月2日,2
,,,,,,,
,,,,,,,
1000,3247.54,1.37,0,3d10(1S)4s,2S,1月2日,2
1000,3247.54,1.37,30783.686,3d10(1S)4p,2P～,3月2日,4
1000,3273.96,1.36,0,3d10(1S)4s,2S,1月2日,2
1000,3273.96,1.36,30535.302,3d10(1S)4p,2P～,1月2日,2
150,5105.54,0.02,11202.565,3d94s2,2D,5月2日,6
150,5105.54,0.02,30783.686,3d10(1S)4p,2P～,3月2日,4
200,5153.24,0.6,30535.302,3d10(1S)4p,2P～,1月2日,2
200,5153.24,0.6,49935.2,3d10(1S)4d,2D,3月2日,4
250,5218.2,0.75,30783.686,3d10(1S)4p,2P～,3月2日,4
250,5218.2,0.75,49942.057,3d10(1S)4d,2D,5月2日,6
